Lag,lb_stat,lb_pvalue,bp_stat,bp_pvalue,Lag,lb_stat,lb_pvalue,bp_stat,bp_pvalue
107,249.4155093,2.19E-13,243.2261694,1.31E-12,233,431.2606642,5.33E-14,411.4932871,4.89E-12
108,249.8050221,3.01E-13,243.5971019,1.80E-12,234,432.1607005,5.91E-14,412.3012121,5.47E-12
109,250.5470781,3.73E-13,244.3034388,2.23E-12,235,434.273696,4.93E-14,414.1970437,4.81E-12
110,251.6511591,4.15E-13,245.3538957,2.51E-12,236,435.2288093,5.40E-14,415.0535807,5.32E-12
111,251.8379693,6.00E-13,245.5315517,3.60E-12,237,436.7523887,5.17E-14,416.4192522,5.25E-12
112,251.8662613,9.05E-13,245.558445,5.36E-12,238,436.7862364,7.00E-14,416.4495772,6.96E-12
113,255.4551535,4.94E-13,248.9683595,3.10E-12,239,439.2429704,5.40E-14,418.649558,5.72E-12
114,255.5257634,7.35E-13,249.0354175,4.55E-12,240,442.4038029,3.53E-14,421.4786812,4.09E-12
115,258.5372727,4.73E-13,251.8941312,3.07E-12,241,443.6540222,3.60E-14,422.5971558,4.27E-12
116,258.6206995,6.99E-13,251.973289,4.49E-12,242,443.661917,4.91E-14,422.6042153,5.68E-12
117,264.2060974,2.17E-13,257.2704552,1.54E-12,243,443.7469627,6.55E-14,422.6802254,7.43E-12
118,264.602548,2.94E-13,257.6462752,2.07E-12,244,444.5233305,7.45E-14,423.3737716,8.48E-12
119,264.8000362,4.20E-13,257.8334009,2.93E-12,245,444.8162027,9.45E-14,423.6352737,1.06E-11
120,264.9761745,6.01E-13,258.0002205,4.16E-12,246,447.9445654,6.25E-14,426.427195,7.69E-12
121,266.6980735,5.57E-13,259.630275,3.94E-12,247,448.179401,8.04E-14,426.6366732,9.74E-12
122,267.3570845,6.95E-13,260.253849,4.92E-12,248,450.5774624,6.29E-14,428.774754,8.13E-12
123,267.8272175,9.11E-13,260.6984978,6.43E-12,249,450.5976383,8.49E-14,428.7927338,1.07E-11
124,267.885399,1.33E-12,260.7535003,9.30E-12,250,461.308479,9.73E-15,438.3330923,1.79E-12
125,270.2518188,1.03E-12,262.9895926,7.47E-12,251,466.620968,3.83E-15,443.0627281,8.39E-13
126,271.9002296,9.75E-13,264.5465044,7.20E-12,252,470.9896041,1.88E-15,446.9501701,4.74E-13
